cAnnee,cCodeNiv,cCodeStru,cPeriode,cTypeRapport,c0015a_NC,c0015a_CONS,c0015a_EXTRACT,c0015a_SOB,c0015a_AUTSOINS,c0015a_RADIO,c1599a_NC,c1599a_CONS,c1599a_EXTRACT,c1599a_SOB,c1599a_AUTSOINS,c1599a_RADIO
2015,340108,340141014,10,21,,,,,,,,,,,,
2015,340108,340141014,11,21,,,,,,,,,,,,
2015,340108,340141014,12,21,,,,,,,,,,,,
2015,340111,340143018,7,21,,,,,,,,,,,,
2015,340111,340143018,8,21,,,,,,,,,,,,
2015,340111,340143018,9,21,,,,,,,,,,,,
2015,340111,340143018,10,21,,,,,,,,,,,,
2015,340111,340143018,11,21,,,,,,,,,,,,
2015,340111,340143018,12,21,,,,,,,,,,,,
2015,340112,340141020,7,21,,,,,,,,,,,,
2015,340112,340141020,8,21,,,,,,,,,,,,
2015,340112,340141020,9,21,,,,,,,,,,,,
2015,340112,340141020,10,21,,,,,,,,,,,,
2015,340112,340141020,11,21,,,,,,,,,,,,
2015,340112,340141020,12,21,,,,,,,,,,,,
2015,340113,340141023,7,21,,,,,,,,,,,,
2015,340113,340141023,8,21,,,,,,,,,,,,
2015,340113,340141023,9,21,,,,,,,,,,,,
2015,340113,340141023,10,21,,,,,,,,,,,,
2015,340113,340141023,11,21,,,,,,,,,,,,
2015,340113,340141023,12,21,,,,,,,,,,,,
2015,340115,340143026,7,21,,,,,,,,,,,,
2015,340115,340143026,8,21,,,,,,,,,,,,
2015,340115,340143026,9,21,,,,,,,,,,,,
2015,340115,340143026,10,21,,,,,,,,,,,,
2015,340115,340143026,11,21,,,,,,,,,,,,
2015,340115,340143026,12,21,,,,,,,,,,,,
2015,340116,340141027,7,21,,,,,,,,,,,,
2015,340116,340141027,8,21,,,,,,,,,,,,
2015,340116,340141027,9,21,,,,,,,,,,,,
2015,340116,340141027,10,21,,,,,,,,,,,,
2015,340116,340141027,11,21,,,,,,,,,,,,
2015,340116,340141027,12,21,,,,,,,,,,,,
2015,340116,340151028,7,21,,,,,,,,,,,,
2015,340116,340151028,8,21,,,,,,,,,,,,
2015,340116,340151028,9,21,,,,,,,,,,,,
2015,340116,340151028,10,21,,,,,,,,,,,,
2015,340116,340151028,11,21,,,,,,,,,,,,
2015,340116,340151028,12,21,,,,,,,,,,,,
2015,340118,340141030,7,21,,,,,,,,,,,,
2015,340118,340141030,8,21,,,,,,,,,,,,
2015,340118,340141030,9,21,,,,,,,,,,,,
2015,340118,340141030,10,21,,,,,,,,,,,,
2015,340118,340141030,11,21,,,,,,,,,,,,
